epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3052,3.06004,4.52884,4.12675,0.00084,0.26629,0.00081,0.00026,2.53633,4.65786,3.9877,0.070566,0.00327044,0.00327044
2,53.9694,2.9443,3.77466,3.78204,0.00095,0.15559,0.00607,0.00172,2.5301,4.45465,3.68954,0.0405007,0.0065384,0.0065384
3,78.0544,2.44888,2.75696,3.21157,0.48817,0.24418,0.12313,0.0477,2.15964,3.23427,3.12252,0.0103693,0.00974035,0.00974035
4,102.636,1.84606,2.26921,2.60608,0.26928,0.45844,0.29845,0.15446,1.57141,2.40653,2.63172,0.009703,0.009703,0.009703
5,126.863,1.38327,1.83018,2.09001,0.28592,0.45115,0.28799,0.18614,1.39052,2.39999,2.32129,0.009604,0.009604,0.009604
6,151.05,1.15954,1.62549,1.82256,0.31279,0.6179,0.27711,0.19281,1.31543,2.40306,2.15175,0.009505,0.009505,0.009505
7,175.399,1.0184,1.3826,1.64145,0.65698,0.71297,0.69628,0.51927,1.03422,1.35896,1.82086,0.009406,0.009406,0.009406
8,199.555,0.94386,1.22265,1.54778,0.68565,0.62088,0.69764,0.53666,0.94575,1.30407,1.68512,0.009307,0.009307,0.009307
9,223.894,0.8721,1.11297,1.46808,0.53169,0.69622,0.5696,0.46362,0.85006,1.48189,1.60993,0.009208,0.009208,0.009208
10,248.104,0.85372,1.04215,1.44138,0.74865,0.71096,0.76141,0.65239,0.75367,1.15583,1.47305,0.009109,0.009109,0.009109
11,272.601,0.79429,0.96201,1.37374,0.61462,0.66416,0.75028,0.61926,0.78768,1.26017,1.52442,0.00901,0.00901,0.00901
12,297.181,0.7555,0.91442,1.3382,0.44046,0.64791,0.55448,0.43079,0.84782,1.40046,1.6179,0.008911,0.008911,0.008911
13,321.423,0.73084,0.89086,1.30749,0.79075,0.80639,0.79131,0.6876,0.7394,1.178,1.46334,0.008812,0.008812,0.008812
14,345.741,0.718,0.84071,1.29037,0.76072,0.77756,0.88294,0.74882,0.71022,0.96331,1.36963,0.008713,0.008713,0.008713
15,369.977,0.69144,0.81109,1.28274,0.79786,0.81717,0.84086,0.74738,0.63632,0.98264,1.2683,0.008614,0.008614,0.008614
16,394.226,0.68254,0.77032,1.26205,0.74745,0.62527,0.72361,0.63582,0.64484,1.207,1.28432,0.008515,0.008515,0.008515
17,418.784,0.66803,0.75225,1.23741,0.73316,0.71385,0.8549,0.75111,0.6532,0.98234,1.27735,0.008416,0.008416,0.008416
18,442.975,0.64493,0.71838,1.22217,0.84517,0.83122,0.88041,0.77024,0.63443,0.86243,1.24682,0.008317,0.008317,0.008317
19,467.623,0.63661,0.69441,1.19898,0.75589,0.69714,0.78447,0.67854,0.65604,1.04522,1.27594,0.008218,0.008218,0.008218
20,491.751,0.62463,0.67845,1.19237,0.7308,0.78352,0.82792,0.71473,0.66057,0.98507,1.24957,0.008119,0.008119,0.008119
21,518.225,0.61261,0.65595,1.18559,0.72166,0.78426,0.85953,0.74734,0.62566,0.93319,1.25951,0.00802,0.00802,0.00802
22,542.492,0.60587,0.63807,1.19159,0.83167,0.84486,0.87854,0.79861,0.59905,0.9864,1.21721,0.007921,0.007921,0.007921
23,566.716,0.59212,0.64148,1.16734,0.76823,0.80275,0.80241,0.7159,0.57368,0.93626,1.16977,0.007822,0.007822,0.007822
24,590.757,0.58849,0.6268,1.16324,0.84159,0.85725,0.89388,0.79966,0.60936,0.87268,1.22051,0.007723,0.007723,0.007723
25,614.618,0.56885,0.60053,1.14375,0.80995,0.82874,0.87073,0.76762,0.61664,0.94287,1.22953,0.007624,0.007624,0.007624
26,638.819,0.56611,0.57139,1.13617,0.82575,0.87683,0.88463,0.79716,0.57082,0.84598,1.16655,0.007525,0.007525,0.007525
27,663.001,0.5652,0.57559,1.13202,0.90344,0.7714,0.91717,0.81579,0.54464,0.73687,1.13713,0.007426,0.007426,0.007426
28,687.138,0.56686,0.57485,1.14164,0.86641,0.87053,0.87063,0.78406,0.55677,0.92016,1.14049,0.007327,0.007327,0.007327
29,711.379,0.55114,0.54516,1.11783,0.76221,0.86231,0.88215,0.78666,0.5631,0.83219,1.14477,0.007228,0.007228,0.007228
30,735.671,0.53956,0.56225,1.11184,0.86105,0.82343,0.91161,0.82422,0.55788,0.77578,1.14269,0.007129,0.007129,0.007129
31,759.731,0.52943,0.53578,1.10712,0.86007,0.85367,0.89874,0.81375,0.55877,0.74201,1.14823,0.00703,0.00703,0.00703
32,783.853,0.53201,0.5124,1.11223,0.84617,0.79694,0.88796,0.79428,0.5671,0.82656,1.18502,0.006931,0.006931,0.006931
33,807.94,0.52367,0.50678,1.10149,0.80374,0.85335,0.85883,0.78051,0.52794,0.88289,1.11671,0.006832,0.006832,0.006832
